Date,Date,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
"Jul 23, 2017",23/07/17,0,2736.1,64.9,190.7,224.6,16.1,0.3,45.5,42.6,0.2,8.2,34.5,1.1,7.3,0.2,6.4,3.6
"Jul 24, 2017",24/07/17,0,2765.1,64.8,196.8,226.7,16.1,0.3,45,44.3,0.2,8.6,34.4,1.3,7.1,0.2,6.2,3.7
"Jul 25, 2017",25/07/17,420.2,2687.2,63.6,196.9,219.1,15.5,0.3,43.6,43,0.2,8.1,31.3,1.4,6.7,0.2,5.6,3.4
"Jul 26, 2017",26/07/17,404.5,2620.3,64.4,198,211.8,15.2,0.3,43,44,0.2,7.7,29.3,1.3,6.5,0.2,5.2,3.1
"Jul 27, 2017",27/07/17,386.1,2592.6,63.8,194.7,205,14.8,0.3,42.2,43.9,0.2,7.4,27.3,1.3,6.2,0.2,5,2.8
"Jul 28, 2017",28/07/17,385.8,2670.1,65.7,191.4,200.5,14.5,0.3,41.7,45,0.2,7.3,26.7,1.3,6.1,0.2,4.9,2.8
"Jul 29, 2017",29/07/17,392.1,2735.7,66.4,188.3,201.1,14.4,0.3,41.3,44.4,0.2,7.4,26.3,1.3,5.9,0.2,4.9,2.9
"Jul 30, 2017",30/07/17,378.8,2764.2,65.3,181.2,199,14.1,0.3,40.7,42.5,0.2,7.2,25.9,1.2,5.7,0.2,4.9,2.9
"Jul 31, 2017",31/07/17,341.6,2786.3,64.2,178.9,202.5,14.1,0.3,41.5,41.1,0.2,7.2,25.9,1.2,5.8,0.2,5,2.8
"Aug 01, 2017",01/08/17,340,2783.6,60,178.7,209.5,14.1,0.3,42.2,41.2,0.2,7.4,26,1.3,6,0.2,5.3,2.8
"Aug 02, 2017",02/08/17,375.7,2768.1,61.2,182.1,216.9,14.4,0.3,42.7,42.5,0.2,7.8,25.9,1.3,6.3,0.2,5.5,3.1
"Aug 03, 2017",03/08/17,398.9,2744.6,62.2,184.9,224,14.9,0.3,42.7,43.7,0.2,8.9,26.5,1.6,6.9,0.2,5.8,3.5
"Aug 04, 2017",04/08/17,349.9,2803.8,68.4,185.6,222.8,15.1,0.3,42.8,44,0.2,9.7,26.7,2,7.4,0.2,6.1,3.7
"Aug 05, 2017",05/08/17,270.1,2984.5,73.1,189.3,235,15.4,0.4,44.4,45.7,0.2,11.7,27.7,2.8,8.4,0.2,6.6,3.9
"Aug 06, 2017",06/08/17,222.3,3120.9,76.4,190,247.1,15.4,0.4,45.1,47.2,0.2,13.2,28.1,3,9.2,0.2,6.8,4.4
"Aug 07, 2017",07/08/17,251.2,3281.9,80.5,193.4,262.4,15.5,0.4,45.9,48.9,0.3,16,28.5,3.2,10.7,0.2,7.2,5.1
"Aug 08, 2017",08/08/17,295.3,3337.6,83,196.7,275.8,15.5,0.5,46.5,50,0.3,17.4,28.1,3.2,11.4,0.2,7.4,5.4
"Aug 09, 2017",09/08/17,323,3380.5,85.2,200.1,287.3,15.5,0.5,47.5,51,0.3,19.6,28.4,3.4,12.2,0.2,7.7,5.4
"Aug 10, 2017",10/08/17,308.4,3381.2,88,201.3,296.2,15.5,0.6,47.7,50.8,0.3,25.4,27.9,4.3,13.3,0.2,7.8,5.4
"Aug 11, 2017",11/08/17,302.7,3458.1,92.1,202,300.3,15.2,0.6,47.2,50.4,0.3,30.5,29.8,5.5,14.4,0.2,7.7,5.5
"Aug 12, 2017",12/08/17,307.1,3638.9,98.4,204.1,305.1,15.1,0.6,46.7,49.8,0.3,35.4,34.5,6.4,14.8,0.2,7.4,5.4
"Aug 13, 2017",13/08/17,314.5,3869.5,102.3,203.1,305.8,14.8,0.7,46.4,49.3,0.3,38.9,37.9,6.8,14.6,0.2,7,5.1
"Aug 14, 2017",14/08/17,304.3,4094.4,106.9,201,302.9,14.4,0.8,46,49,0.3,43.6,38.3,6.7,14.7,0.2,6.5,4.9
"Aug 15, 2017",15/08/17,297.9,4193.4,109.4,200.4,296,14,0.9,45,48.7,0.3,47.2,34.2,6.9,15,0.2,6.2,4.8
"Aug 16, 2017",16/08/17,298.6,4294.6,114.8,211.7,297.4,14,1,44.4,49.1,0.3,46.8,33.2,7.5,14.7,0.2,6.1,4.8
"Aug 17, 2017",17/08/17,352.9,4296.8,116.5,223.1,297.8,13.9,1,43.8,48.3,0.3,44.6,32.9,8,14,0.2,6.1,4.7
"Aug 18, 2017",18/08/17,483.7,4289.6,119.4,230,299.8,14,1,45.1,47.6,0.2,41.7,34.2,8.2,13,0.2,5.9,4.6
"Aug 19, 2017",19/08/17,635.1,4228.7,119.7,248.9,298.2,13.8,1,45.6,50,0.2,39.8,34.6,7.8,12.1,0.2,5.8,4.4
"Aug 20, 2017",20/08/17,719.2,4147.3,119.3,269.1,298.2,13.8,0.9,46.3,52.5,0.3,39,37.5,7.9,11.7,0.2,5.7,4.5
"Aug 21, 2017",21/08/17,689,4094.4,117.6,287.5,306.8,14,0.9,46.5,62.8,0.3,37.8,37.3,8,11.6,0.2,5.6,4.6
"Aug 22, 2017",22/08/17,667.8,4063.3,117.7,288.4,312.6,14.3,0.9,47,74.6,0.3,36.4,37.6,7.9,11.4,0.2,5.6,4.6
"Aug 23, 2017",23/08/17,653.3,4084.6,121.4,287.9,318,14.7,0.9,49.3,86.4,0.3,37.1,35.6,7.8,11.4,0.2,5.7,4.5
"Aug 24, 2017",24/08/17,662.8,4195.6,125.2,299.8,319.3,14.9,0.9,50.1,89.3,0.3,39.3,35.8,8.1,12.2,0.2,5.9,4.7
"Aug 25, 2017",25/08/17,646.2,4285.9,118.6,307.9,325,15.2,0.9,51.5,95,0.3,40.8,35.7,8.3,13,0.2,6,5
"Aug 26, 2017",26/08/17,631.5,4352.9,114.7,343.7,330.5,15.2,0.9,51,110.9,0.3,40.3,35.2,8.3,14.2,0.2,6.1,5.2
"Aug 27, 2017",27/08/17,629.1,4369,110.7,359.5,337.9,15.5,0.9,54.7,125.7,0.3,39.7,35.2,8.3,14.8,0.2,6.4,5.3
"Aug 28, 2017",28/08/17,614.1,4372.6,116.6,373.2,343.2,15.7,0.9,58.4,138,0.3,39,35.5,8.4,15.8,0.2,6.8,5.3
"Aug 29, 2017",29/08/17,590,4448.2,120.7,359.7,355.4,15.9,0.9,62.2,136.4,0.3,37.4,35.5,8.8,17,0.2,7.1,5.3
"Aug 30, 2017",30/08/17,574.8,4509,127.7,361.6,365.6,15.7,0.9,63.2,136.9,0.3,35.1,35.6,9.7,17.4,0.2,7.2,5.4
"Aug 31, 2017",31/08/17,572.1,4615.9,133.3,368.7,377.4,15.9,0.8,66.1,135.3,0.3,33.3,35.5,10.8,17.8,0.2,7.2,5.6
"Sep 01, 2017",01/09/17,595.2,4720.2,137.6,380,383.1,18,0.8,73.8,138,0.3,32.8,34.6,11.6,17.5,0.2,7.3,5.7
"Sep 02, 2017",02/09/17,595.4,4724.7,136,373.9,373.3,19.5,0.8,78.7,135.5,0.3,32.3,31.8,11.5,17.3,0.2,7,5.6
"Sep 03, 2017",03/09/17,601.8,4684.6,134.4,366.6,361.4,20.2,0.7,80.6,130.7,0.3,31.4,28.9,11.1,16.6,0.2,6.7,5.4
"Sep 04, 2017",04/09/17,566.9,4466,125.5,340.9,330.5,18.2,0.7,73.7,119,0.3,28,25,10,14.2,0.2,6.2,5
"Sep 05, 2017",05/09/17,555.5,4398.6,124.8,333.2,318.5,17,0.6,71.1,117,0.3,25,23.1,10.1,12.7,0.2,6.1,4.9
"Sep 06, 2017",06/09/17,565.7,4403.3,126.6,330.2,314.2,17.1,0.6,72.2,115.5,0.3,22,21.5,10.5,11.4,0.2,6,4.9
"Sep 07, 2017",07/09/17,610.9,4524.5,134.4,339.4,325.6,17.8,0.7,76.6,120.4,0.3,25,21.8,11.8,12.6,0.2,6.1,5
"Sep 08, 2017",08/09/17,624.7,4475.3,134,341.4,320.1,17.3,0.6,75.5,120.2,0.3,25.7,21,12,13.2,0.2,6,4.9
"Sep 09, 2017",09/09/17,594.5,4351.6,132,333.4,306.8,16,0.6,70.8,118.4,0.3,25.9,21.2,12.2,13.9,0.2,5.9,4.6
"Sep 10, 2017",10/09/17,555.9,4192.6,127.1,325.5,293.2,14.6,0.5,65.1,115.5,0.3,23.2,21.1,11.7,13.2,0.2,5.8,4.5
"Sep 11, 2017",11/09/17,540.8,4170.1,126.2,320.5,292.6,14.4,0.5,64.6,113.8,0.3,22.2,21.1,11.6,13.5,0.2,5.7,4.4
"Sep 12, 2017",12/09/17,528.4,4138.3,124,321.5,291.6,14.2,0.5,64,112.3,0.3,21.9,19.8,11.4,13.5,0.2,5.7,4.4
"Sep 13, 2017",13/09/17,517.3,4058.2,121.7,315.2,287.7,14.4,0.6,64,112,0.2,21,18.4,11.2,13.2,0.2,5.4,4.2
"Sep 14, 2017",14/09/17,460.4,3722.8,112.1,287.8,260.8,12.6,0.5,55.8,102.1,0.2,18.9,16.5,10.1,11,0.2,4.8,3.8
"Sep 15, 2017",15/09/17,431.6,3558.4,108,274,247.2,11.2,0.5,50.5,98.1,0.2,18.2,15.9,9.5,9.3,0.2,4.5,3.6
"Sep 16, 2017",16/09/17,410.4,3472.5,105.9,273.2,237,9.8,0.5,46,92.7,0.2,18.4,15.3,9.3,8.1,0.2,4.3,3.5
"Sep 17, 2017",17/09/17,428,3615.1,109.3,299,249.6,10.1,0.5,48.3,96.3,0.2,19.8,16.4,9.9,8.3,0.2,4.5,3.7
"Sep 18, 2017",18/09/17,446.5,3757.7,112.9,315.2,263.9,10.6,0.5,50.8,96.5,0.2,20.6,16.4,10.3,8.7,0.2,4.7,3.9
"Sep 19, 2017",19/09/17,475.7,3857.7,115.5,323.7,276,11.1,0.6,52.3,97.3,0.2,20.3,16.4,10.3,8.9,0.2,4.9,4
"Sep 20, 2017",20/09/17,494.4,3965.4,119,333.2,286.7,11.5,0.6,53.4,98,0.2,20.3,15.9,10,9.1,0.2,5,4.2
"Sep 21, 2017",21/09/17,473.4,3820.7,114.5,332.2,275,10.9,0.5,50.4,93.2,0.2,19,14.7,9,8.4,0.2,4.5,4
"Sep 22, 2017",22/09/17,435.8,3722.6,111.9,339.7,268.9,10.5,0.5,48.8,90,0.2,18.6,13.9,8.6,7.9,0.2,4.2,3.8
"Sep 23, 2017",23/09/17,420,3684.7,110.5,342.5,269.7,10.3,0.5,48,88.8,0.2,18.8,13.4,8.6,7.7,0.2,4.1,3.8
"Sep 24, 2017",24/09/17,421.5,3702,111,343.1,277.7,10.4,0.5,48.3,89.8,0.2,19.6,14.1,8.8,7.9,0.2,4,3.9
"Sep 25, 2017",25/09/17,431.8,3800.4,113.6,342.6,287,10.6,0.5,49.5,91.7,0.2,22,14.9,9.2,8.5,0.2,4.2,4.1
"Sep 26, 2017",26/09/17,436.2,3833.8,115.1,338.7,287.4,10.8,0.5,50.2,92.1,0.2,24.1,15.3,9.5,8.9,0.2,4.2,4.3
"Sep 27, 2017",27/09/17,448.3,4006.4,120.5,343.5,295.4,11.6,0.5,53.1,95.9,0.2,28.1,15.8,10,9.5,0.2,4.5,4.7
"Sep 28, 2017",28/09/17,449,4089.3,125.1,341.3,297.7,12.2,0.6,54,97.1,0.2,29.3,15.8,10.2,9.7,0.2,4.7,4.9
"Sep 29, 2017",29/09/17,447.3,4179.5,129.2,337.5,299,12.6,0.6,54.3,97.6,0.2,30.1,15.7,10.2,9.9,0.2,4.7,5
"Sep 30, 2017",30/09/17,439.1,4225.5,132.5,331,297.4,12.7,0.6,53.9,95.8,0.2,30.9,14.9,10.1,10.4,0.2,4.6,4.9
"Oct 01, 2017",01/10/17,428.2,4301.8,135.2,323.5,298.4,12.7,0.6,54.1,94.5,0.2,32.9,15.2,9.9,11.2,0.2,4.3,5
"Oct 02, 2017",02/10/17,423,4383.9,138.2,317.2,300.4,12.7,0.6,54.4,93.5,0.2,35.6,15.2,9.7,11.9,0.2,4.2,5
"Oct 03, 2017",03/10/17,413.5,4376.8,138.3,306.9,297.4,12.5,0.6,53.4,92.6,0.2,35.4,15,9.4,12.1,0.2,4,4.8
"Oct 04, 2017",04/10/17,394.6,4318.7,136.9,303.5,294.2,12.3,0.6,52.4,91.6,0.2,33.8,14.2,9,11.9,0.2,3.8,4.8
"Oct 05, 2017",05/10/17,372.8,4291.8,136.9,302.4,293.7,12.1,0.5,51.8,91.7,0.2,32.3,14,8.9,11.9,0.2,3.7,4.9
"Oct 06, 2017",06/10/17,359.1,4309.5,138.6,305.9,299,12.1,0.5,51.7,91.2,0.2,32.3,14.3,8.7,11.7,0.2,3.6,4.9
"Oct 07, 2017",07/10/17,359.8,4375.4,141.7,307.6,305.2,12.2,0.5,52.1,91.6,0.2,34,14.6,8.7,11.8,0.2,3.7,5
"Oct 08, 2017",08/10/17,355.3,4469.4,144.8,306.6,309.4,12.2,0.5,52.6,90.9,0.2,33.9,13.9,8.3,11.6,0.3,3.7,4.8
"Oct 09, 2017",09/10/17,339.1,4603.1,150.4,298.9,305.7,12,0.5,52,89,0.2,32.4,12.8,7.9,11.7,0.3,3.6,4.5
"Oct 10, 2017",10/10/17,326,4721.5,156.1,292.5,302,11.7,0.5,51.3,87.4,0.2,30.2,11.7,7.8,11.8,0.3,3.4,4.2
"Oct 11, 2017",11/10/17,316.9,4793.5,162.2,291.1,300.2,11.5,0.5,50.6,86.6,0.2,29.5,11.8,8.3,12.1,0.3,3.4,4.1
"Oct 12, 2017",12/10/17,316.6,5018.5,172,293.9,302.5,11.7,0.5,53.9,87.1,0.2,29.1,12,8.5,11.8,0.3,3.3,4
"Oct 13, 2017",13/10/17,316.5,5306.9,183.8,300.2,315.5,11.9,0.4,56.8,89.9,0.2,29.2,12.1,8.6,11.6,0.3,3.3,3.9
"Oct 14, 2017",14/10/17,318.9,5642,194.8,306.3,327.5,12.1,0.4,61.2,94.1,0.2,28.4,11.8,8.2,11.1,0.3,3,3.9
"Oct 15, 2017",15/10/17,319.5,5719.1,196.5,312.2,338.3,12.1,0.4,62.9,96.7,0.2,28.3,11.4,8.1,10.8,0.3,3,3.9
"Oct 16, 2017",16/10/17,316.9,5745.2,197.5,309.5,336.5,12,0.4,64.7,97,0.2,28,11.5,7.9,10.9,0.3,2.9,3.9
"Oct 17, 2017",17/10/17,333.4,5669.8,195.5,303.9,329,11.9,0.5,63.2,94,0.2,29.2,12.3,7.9,11.3,0.3,3,3.9
"Oct 18, 2017",18/10/17,341.5,5640.6,196.3,299.8,321.6,11.8,0.5,61.6,92.2,0.2,29.9,13.5,7.9,11.7,0.2,3.1,4
"Oct 19, 2017",19/10/17,347.2,5634.9,196.4,297.5,313.2,11.6,0.5,60,89.8,0.2,29.9,14.2,7.9,11.9,0.2,3.1,4
"Oct 20, 2017",20/10/17,332.5,5770.2,202.9,294,308.8,11.4,0.4,60.3,89.6,0.2,28.7,14.4,7.7,11.6,0.2,3.1,3.9
"Oct 21, 2017",21/10/17,327.2,5917.2,207.9,287.5,304.1,11.2,0.4,59.4,89.1,0.2,27.8,13.8,7.5,11.4,0.2,3,3.7
"Oct 22, 2017",22/10/17,327.5,6017.2,209.6,280.9,299.9,11,0.4,58.4,88.4,0.2,27.9,13,7.4,10.9,0.2,3,3.6
"Oct 23, 2017",23/10/17,323.5,5990.1,204.7,279.3,294.2,10.7,0.4,56.6,86.6,0.2,27.8,12.2,7.5,10.5,0.2,3.2,3.6
"Oct 24, 2017",24/10/17,324.7,5821.8,199.1,284.4,293.6,10.6,0.4,55.9,86.7,0.2,28.8,12.3,7.8,10.4,0.2,3.5,3.7
"Oct 25, 2017",25/10/17,324.9,5735.9,199.5,288.9,294.4,10.5,0.4,55.8,87.2,0.2,28.7,12.5,7.8,10.5,0.2,4.1,3.7
"Oct 26, 2017",26/10/17,332.4,5727.4,205.5,289.5,297.6,10.6,0.4,56.1,88.4,0.2,29,12.6,7.8,10.7,0.2,4.4,3.7
"Oct 27, 2017",27/10/17,346,5812.2,211.8,285.2,297.3,10.5,0.4,55.9,87.8,0.2,28.5,12.3,7.6,10.5,0.2,4.6,3.6
"Oct 28, 2017",28/10/17,376.4,5812.9,213.7,280.8,296.7,10.5,0.4,55.3,87.2,0.2,28.1,12.2,7.4,10.4,0.2,4.4,3.5
"Oct 29, 2017",29/10/17,414.3,5895.9,217.2,280,299.6,10.6,0.4,55.7,87.2,0.2,28,12,7.3,10.3,0.2,4.2,3.5
"Oct 30, 2017",30/10/17,441.2,6012.5,222.4,281.9,303,10.8,0.4,56.1,87.9,0.2,28,12.2,7.2,10.3,0.2,4.1,3.5
"Oct 31, 2017",31/10/17,446.4,6250.9,231.6,283,306.2,10.8,0.4,56.4,88.4,0.2,28.3,12,7.1,10.4,0.2,3.7,3.4
"Nov 01, 2017",01/11/17,473,6455.4,239.5,278.9,301.8,10.6,0.4,55.1,87.4,0.2,28,11.7,6.7,10.3,0.2,3.4,3.2
"Nov 02, 2017",02/11/17,519.4,6771.4,251.2,272,295,10.4,0.4,54.6,85.7,0.2,26.6,10.6,6.4,10.1,0.2,3.1,3.1
"Nov 03, 2017",03/11/17,581.5,7017.9,261.8,271.8,294.9,11.1,0.4,54.7,85.8,0.2,26.1,10.9,6.3,10,0.2,3,3.3
"Nov 04, 2017",04/11/17,611,7222.1,271,272.9,297.9,11.6,0.4,55.3,86.3,0.2,25.9,11.2,6.5,10.1,0.2,3,3.5
"Nov 05, 2017",05/11/17,625.5,7331.7,275.4,275.5,300.8,12.6,0.4,55.3,87.2,0.2,26.6,11.6,6.5,10.2,0.2,3.1,3.6
"Nov 06, 2017",06/11/17,617.9,7270,271.6,274.5,298.5,13.2,0.4,55,92.2,0.2,26.4,11.1,6.4,10.2,0.2,3,3.5
"Nov 07, 2017",07/11/17,616.6,7191.5,269.1,280.7,296.6,13.8,0.4,57.1,96.3,0.2,26.3,10.8,6.4,10.6,0.2,3,3.6
"Nov 08, 2017",08/11/17,613.8,7208.9,272.2,295.1,300.9,14.1,0.4,59.7,105.3,0.2,27.7,10.9,6.8,11.2,0.2,3.2,3.9
"Nov 09, 2017",09/11/17,631,7249.2,276.8,311.9,308.2,14,0.5,62.7,111.3,0.2,29.6,11.3,7.4,11.7,0.2,3.4,4.4
"Nov 10, 2017",10/11/17,761.4,7073.8,270.9,324,309.7,14.3,0.5,62,113.2,0.2,30.2,11.3,7.6,11.7,0.2,3.5,4.6
