Name,LatestVolume_inM,LatestOpen,LatestClose ,L7D,L30D,LatestMarketCap_inB,LatestDirection
bitcoin,9926.5,11231.8,11403.7,10598.3,9789.3,190.0,Increasing
bitcoin_cash,820.9,1543.3,1418.7,1468.9,1390.4,26.2,Decreasing
bitconnect,0.2,3.4,3.5,3.9,6.4,0.0,Decreasing
dash,5755.0,729.0,685.0,703.8,669.8,5.8,Decreasing
ethereum,2545.3,943.6,895.4,934.6,950.6,92.2,Decreasing
ethereum_classic,1175.9,39.4,38.2,36.2,28.5,3.9,Decreasing
iota,49.9,2.1,1.9,2.1,2.1,5.8,Decreasing
litecoin,1739.7,223.1,232.9,224.3,175.9,12.3,Increasing
monero,71.1,317.0,303.8,303.3,274.7,5.0,Decreasing
nem,66.0,0.5,0.5,0.5,0.7,4.8,Decreasing
neo,239.2,138.0,128.4,130.4,125.0,9.0,Decreasing
numeraire,1.7,24.5,23.8,22.5,652.6,0.0,Decreasing
omisego,109.2,17.7,18.4,17.6,14.8,0.1,Increasing
qtum,203.4,32.7,33.4,32.5,33.3,2.4,Decreasing
ripple,806.7,1.1,1.1,1.1,1.1,44.6,Decreasing
stratis,21.1,9.9,9.1,9.6,10.6,1.0,Decreasing
waves,46.1,8.1,8.0,7.7,7.1,0.8,Decreasing